pl_name,pl_bmasse,pl_rade,pl_dens,pl_radeerr1,pl_radeerr2,pl_bmasseerr1,pl_bmasseerr2,discoverymethod,disc_facility,pl_controv_flag,sy_dist
"GJ 3293 d",7.60000,2.670,2.190000,,,1.05000,-1.05000,"Radial Velocity","La Silla Observatory",0,20.1903000
"GJ 3473 c",7.41000,2.630,2.240000,,,0.91000,-0.86000,"Radial Velocity","Multiple Observatories",0,27.3644000
"GJ 3998 c",6.26000,2.380,2.550000,,,0.79000,-0.76000,"Radial Velocity","Roque de los Muchachos Observatory",0,18.1459000
"BD-08 2823 b",12.71320,3.610,1.480000,,,3.17830,-3.17830,"Radial Velocity","La Silla Observatory",0,41.3342000
"BD-10 3166 b",187.51970,14.100,0.368000,,,22.24810,-22.24810,"Radial Velocity","W. M. Keck Observatory",0,84.4069000
"GJ 720 A b",13.64000,3.770,1.400000,,,0.78000,-0.79000,"Radial Velocity","Roque de los Muchachos Observatory",0,15.5575000
"BD-13 2130 b",3108.37740,12.500,8.750000,,,1449.30480,-1449.30480,"Radial Velocity","La Silla Observatory",0,925.2140000
"HD 215152 d",2.80100,1.480,4.750000,,,0.80900,-0.92300,"Radial Velocity","La Silla Observatory",0,21.5974000
"AB Pic b",4290.50000,12.300,12.700000,,,158.90000,-158.90000,"Imaging","Paranal Observatory",0,50.0475000
"GJ 9827 d",4.04000,2.022,2.690000,0.046,-0.043,0.82000,-0.84000,"Transit","K2",0,29.6610000
"HAT-P-12 b",67.05900,10.749,0.319200,0.325,-0.235,3.81400,-3.81400,"Transit","HATNet",0,142.7510000
"EPIC 246851721 b",953.49000,11.781,3.100000,0.493,-0.493,349.61300,-381.39600,"Transit","K2",0,372.6320000
"CFBDSIR J145829+101343 b",3337.10000,12.400,9.620000,,,1430.20000,-1430.20000,"Imaging","W. M. Keck Observatory",0,23.1000000
"CoRoT-14 b",2415.40000,12.220,7.300000,0.780,-0.780,190.70000,-190.70000,"Transit","CoRoT",0,1744.6000000
"EPIC 206024342 b",3.53000,1.700,3.950000,0.590,-0.310,,,"Transit","K2",0,369.8880000
"EPIC 206215704 b",0.66600,0.900,5.020000,0.190,-0.200,,,"Transit","K2",0,109.8880000
"EPIC 212297394 b",2.31000,1.323,5.480000,0.081,-0.095,,,"Transit","K2",0,418.3950000
"EPIC 212499991 b",3.19000,1.600,4.280000,0.130,-0.160,,,"Transit","K2",0,283.2900000
"EPIC 212737443 c",7.70000,2.690,2.170000,0.146,-0.146,,,"Transit","K2",0,336.2500000
"GJ 180 c",6.40000,2.410,2.510000,,,3.70000,-4.10000,"Radial Velocity","Multiple Observatories",0,11.9407000
"GJ 229 b",8.47800,2.850,2.010000,,,2.03300,-2.03300,"Radial Velocity","Multiple Observatories",0,5.7562400
"GJ 3138 d",10.50000,3.230,1.710000,,,2.30000,-2.10000,"Radial Velocity","La Silla Observatory",0,28.4712000
"GJ 3470 b",13.90000,4.570,0.800000,0.180,-0.180,1.50000,-1.50000,"Radial Velocity","La Silla Observatory",0,29.4214000
"HD 134060 c",29.29000,5.910,0.780000,,,4.43000,-4.24000,"Radial Velocity","La Silla Observatory",0,24.0125000
"HD 136352 b",4.72000,1.664,5.623888,0.043,-0.043,0.42000,-0.42000,"Radial Velocity","La Silla Observatory",0,14.6820000
"GJ 433 b",6.04300,2.330,2.630000,,,0.59700,-0.59700,"Radial Velocity","La Silla Observatory",0,9.0645600
"GJ 433 d",5.22300,2.140,2.930000,,,0.92100,-0.92100,"Radial Velocity","Multiple Facilities",0,9.0645600
"GJ 436 b",22.10000,4.170,1.800000,0.168,-0.168,2.30000,-2.30000,"Radial Velocity","W. M. Keck Observatory",0,9.7532100
"GJ 9827 c",0.84000,1.241,2.420000,0.024,-0.026,,,"Transit","K2",0,29.6610000
"HAT-P-13 c",4538.42100,12.300,13.400000,,,88.98900,-88.98900,"Radial Velocity","W. M. Keck Observatory",0,246.8100000
"HAT-P-14 b",1093.33520,15.917,1.560000,1.345,-1.345,200.23290,-200.23290,"Transit","HATNet",0,222.6630000
"HAT-P-37 b",371.52800,13.204,0.890000,0.863,-0.863,32.73500,-32.73500,"Transit","HATNet",0,390.5940000
"CoRoT-30 b",921.70700,11.310,3.450000,0.852,-0.852,69.92260,-69.92260,"Transit","CoRoT",0,1032.2300000
"HAT-P-40 b",152.55840,17.038,0.150000,1.906,-1.906,41.31790,-41.31790,"Transit","HATNet",0,464.4690000
"HAT-P-51 b",98.20947,14.493,0.178000,0.605,-0.605,5.72094,-5.72094,"Transit","HATNet",0,440.0890000
"HATS-12 b",759.61370,7.760,1.120000,0.470,-0.470,27.65121,-27.65121,"Transit","HATSouth",0,746.1380000
"HATS-49 b",112.19399,8.575,0.986000,0.146,-0.146,12.07754,-8.58141,"Transit","HATSouth",0,324.4130000
"HATS-54 b",241.55080,11.960,0.770000,0.583,-0.583,31.78300,-31.78300,"Transit","HATSouth",0,748.5850000
"HD 10180 d",11.75000,3.450,1.570000,,,0.65000,-0.65000,"Radial Velocity","La Silla Observatory",0,38.9607000
"HD 102272 b",1570.08020,12.900,4.020000,,,203.41120,-203.41120,"Radial Velocity","McDonald Observatory",0,347.0970000
"HD 42618 b",14.40000,3.890,1.340000,,,2.50000,-2.40000,"Radial Velocity","Multiple Observatories",0,24.3358000
"HD 110014 b",3524.59000,12.400,10.200000,,,317.82000,-317.82000,"Radial Velocity","La Silla Observatory",0,100.7580000
"HD 131496 b",572.09400,13.400,1.310000,,,31.78300,-31.78300,"Radial Velocity","W. M. Keck Observatory",0,131.8490000
"BD-17 63 b",1620.90000,12.800,4.250000,,,38.14000,-38.14000,"Radial Velocity","La Silla Observatory",0,34.4603000
"CoRoT-13 b",415.70400,9.920,2.340000,0.157,-0.157,20.97600,-20.97600,"Transit","CoRoT",0,1148.9300000
"EPIC 201754305 d",1.08000,1.030,5.430000,0.085,-0.086,,,"Transit","K2",0,334.9670000
"EPIC 201841433 b",1.12000,1.040,5.470000,0.037,-0.032,,,"Transit","K2",0,436.4880000
"HD 7449 b",161.45764,14.200,0.310000,,,35.27913,-35.27913,"Radial Velocity","La Silla Observatory",0,38.6620000
"HD 37605 b",854.96270,13.200,2.040000,,,95.34900,-95.34900,"Radial Velocity","McDonald Observatory",0,46.7864000
"HD 40307 d",9.50000,3.040,1.860000,,,1.70000,-1.50000,"Radial Velocity","La Silla Observatory",0,12.9363000
"HD 75289 b",155.73670,14.200,0.299000,,,9.53490,-9.53490,"Radial Velocity","La Silla Observatory",0,29.1158000
"HD 73526 c",715.09000,13.300,1.670000,,,41.32000,-41.32000,"Radial Velocity","Anglo-Australian Telescope",0,97.2396000
"HD 46375 b",71.80000,10.000,0.395000,,,6.00000,-6.00000,"Radial Velocity","W. M. Keck Observatory",0,29.5529000
"HD 7924 c",7.86000,2.720,2.150000,,,0.73000,-0.71000,"Radial Velocity","W. M. Keck Observatory",0,16.9922000
"G 264-012 c",3.75000,1.760,3.780000,,,0.48000,-0.47000,"Radial Velocity","Calar Alto Observatory",0,16.0090000
"HD 23127 b",485.32641,13.500,1.080000,,,11.75971,-12.07754,"Radial Velocity","Anglo-Australian Telescope",0,93.8555000
"HD 233832 b",565.73740,13.500,1.260000,,,25.42640,-19.06980,"Radial Velocity","Roque de los Muchachos Observatory",0,58.7420000
"HD 238090 b",6.89000,2.520,2.370000,,,0.92000,-0.95000,"Radial Velocity","Multiple Observatories",0,15.2354000
"HD 160691 b",532.68308,13.500,1.190000,,,,,"Radial Velocity","Anglo-Australian Telescope",0,15.5981000
"HD 30856 b",491.68301,13.500,1.100000,,,28.92253,-28.92253,"Radial Velocity","W. M. Keck Observatory",0,131.1990000
"HD 212301 b",162.09330,14.200,0.311000,,,12.71320,-12.71320,"Radial Velocity","La Silla Observatory",0,54.2304000
"HD 213240 b",1773.49140,12.800,4.650000,,,98.52730,-98.52730,"Radial Velocity","La Silla Observatory",0,40.8707000
"HD 213885 b",8.83000,1.745,9.150000,0.051,-0.052,0.66000,-0.65000,"Transit","Transiting Exoplanet Survey Satellite (TESS)",0,48.0883000
"HD 215497 b",6.35660,2.400,2.530000,,,3.17830,-3.17830,"Radial Velocity","La Silla Observatory",0,40.5468000
"HD 216437 b",706.53609,13.300,1.650000,,,18.43414,-18.43414,"Radial Velocity","Anglo-Australian Telescope",0,26.6902000
"HAT-P-32 b",216.12440,22.194,0.108000,0.504,-0.504,34.96130,-31.78300,"Transit","HATNet",0,289.2050000
"HAT-P-35 b",335.62848,14.930,0.550000,1.098,-1.098,10.48839,-10.48839,"Transit","HATNet",0,506.9650000
"HD 219666 b",16.60000,4.710,0.870000,0.170,-0.170,1.30000,-1.30000,"Transit","Transiting Exoplanet Survey Satellite (TESS)",0,94.1719000
"DMPP-3 A b",2.58000,1.410,5.060000,,,0.35000,-0.58000,"Radial Velocity","La Silla Observatory",0,45.2300000
"HATS-45 b",222.48100,14.415,0.410000,1.042,-1.042,47.67450,-47.67450,"Transit","HATSouth",0,772.1100000
"HATS-48 A b",77.23269,8.967,0.589000,0.168,-0.168,6.99226,-9.53490,"Transit","HATSouth",0,263.6090000
"HD 106252 b",2202.56190,12.700,5.910000,,,85.81410,-85.81410,"Radial Velocity","Lick Observatory",0,38.1850000
"HD 110113 b",4.55000,2.050,2.900000,0.120,-0.120,0.62000,-0.62000,"Transit","Transiting Exoplanet Survey Satellite (TESS)",0,106.3070000
"HD 27894 c",51.48846,8.240,0.506000,,,3.49613,-12.71320,"Radial Velocity","La Silla Observatory",0,43.8214000
"HD 28254 b",368.67000,13.700,0.788000,,,31.78000,-19.07000,"Radial Velocity","La Silla Observatory",0,55.2884000
"HD 13808 b",11.20000,3.350,1.640000,,,1.20000,-0.66000,"Radial Velocity","La Silla Observatory",0,28.2305000
"HD 4208 b",257.44230,13.900,0.527000,,,4.44962,-4.76745,"Radial Velocity","W. M. Keck Observatory",0,34.1937000
"HD 68988 b",626.12510,13.400,1.430000,,,31.78300,-31.78300,"Radial Velocity","Multiple Observatories",0,60.8447000
"HD 69830 b",10.20000,3.170,1.760000,,,,,"Radial Velocity","La Silla Observatory",0,12.5591000
